data,variavel,valor,peso,subgrupo
12-1997,Empregado doméstico,0.215,3.9918,Serviços
12-1998,Empregado doméstico,0.295,3.9918,Serviços
12-1999,Empregado doméstico,0.243,3.9918,Serviços
12-2000,Empregado doméstico,0.303,3.9918,Serviços
12-2001,Empregado doméstico,0.308,3.9918,Serviços
12-2002,Empregado doméstico,0.263,3.9918,Serviços
12-2003,Empregado doméstico,0.254,3.9918,Serviços
12-2004,Empregado doméstico,0.218,3.9918,Serviços
12-2005,Empregado doméstico,0.285,3.9918,Serviços
12-2006,Empregado doméstico,0.38,3.9918,Serviços
12-2007,Empregado doméstico,0.447,3.9918,Serviços
12-2008,Empregado doméstico,0.517,3.9918,Serviços
12-2009,Empregado doméstico,0.581,3.9918,Serviços
12-2010,Empregado doméstico,0.669,3.9918,Serviços
12-2011,Empregado doméstico,0.746,3.9918,Serviços
12-2012,Empregado doméstico,0.859,3.9918,Serviços
12-2013,Empregado doméstico,0.953,3.9918,Serviços
05-2014,Empregado doméstico,0.989,3.9918,Serviços
12-1994,Gasolina,0,3.8542,Transporte
12-1995,Gasolina,-0.121,3.8542,Transporte
12-1996,Gasolina,-0.026,3.8542,Transporte
12-1997,Gasolina,0.076,3.8542,Transporte
12-1998,Gasolina,0.056,3.8542,Transporte
12-1999,Gasolina,0.473,3.8542,Transporte
12-2000,Gasolina,0.817,3.8542,Transporte
12-2001,Gasolina,0.809,3.8542,Transporte
12-2002,Gasolina,0.802,3.8542,Transporte
12-2003,Gasolina,0.669,3.8542,Transporte
12-2004,Gasolina,0.779,3.8542,Transporte
12-2005,Gasolina,0.813,3.8542,Transporte
12-2006,Gasolina,0.81,3.8542,Transporte
12-2007,Gasolina,0.721,3.8542,Transporte
12-2008,Gasolina,0.62,3.8542,Transporte
12-2009,Gasolina,0.585,3.8542,Transporte
12-2010,Gasolina,0.522,3.8542,Transporte
12-2011,Gasolina,0.528,3.8542,Transporte
12-2012,Gasolina,0.438,3.8542,Transporte
12-2013,Gasolina,0.446,3.8542,Transporte
05-2014,Gasolina,0.419,3.8542,Transporte
12-1994,Automóvel novo,0,3.1555,Transporte
12-1995,Automóvel novo,-0.122,3.1555,Transporte
12-1996,Automóvel novo,-0.13,3.1555,Transporte
12-1997,Automóvel novo,-0.142,3.1555,Transporte
12-1998,Automóvel novo,-0.206,3.1555,Transporte
12-1999,Automóvel novo,-0.106,3.1555,Transporte
12-2000,Automóvel novo,-0.123,3.1555,Transporte
12-2001,Automóvel novo,-0.165,3.1555,Transporte
12-2002,Automóvel novo,-0.255,3.1555,Transporte
12-2003,Automóvel novo,-0.311,3.1555,Transporte
12-2004,Automóvel novo,-0.273,3.1555,Transporte
12-2005,Automóvel novo,-0.29,3.1555,Transporte
12-2006,Automóvel novo,-0.305,3.1555,Transporte
12-2007,Automóvel novo,-0.323,3.1555,Transporte
12-2008,Automóvel novo,-0.375,3.1555,Transporte
12-2009,Automóvel novo,-0.423,3.1555,Transporte
12-2010,Automóvel novo,-0.46,3.1555,Transporte
12-2011,Automóvel novo,-0.508,3.1555,Transporte
12-2012,Automóvel novo,-0.562,3.1555,Transporte
12-2013,Automóvel novo,-0.572,3.1555,Transporte
05-2014,Automóvel novo,-0.573,3.1555,Transporte
12-1994,Energia elétrica residencial,0,2.6321,Combustíveis. energia
12-1995,Energia elétrica residencial,0.349,2.6321,Combustíveis. energia
12-1996,Energia elétrica residencial,0.251,2.6321,Combustíveis. energia
12-1997,Energia elétrica residencial,0.308,2.6321,Combustíveis. energia
12-1998,Energia elétrica residencial,0.322,2.6321,Combustíveis. energia
12-1999,Energia elétrica residencial,0.454,2.6321,Combustíveis. energia
12-2000,Energia elétrica residencial,0.546,2.6321,Combustíveis. energia
12-2001,Energia elétrica residencial,0.693,2.6321,Combustíveis. energia
12-2002,Energia elétrica residencial,0.804,2.6321,Combustíveis. energia
12-2003,Energia elétrica residencial,1.002,2.6321,Combustíveis. energia
12-2004,Energia elétrica residencial,1.04,2.6321,Combustíveis. energia
12-2005,Energia elétrica residencial,1.085,2.6321,Combustíveis. energia
12-2006,Energia elétrica residencial,1.028,2.6321,Combustíveis. energia
12-2007,Energia elétrica residencial,0.821,2.6321,Combustíveis. energia
12-2008,Energia elétrica residencial,0.739,2.6321,Combustíveis. energia
12-2009,Energia elétrica residencial,0.745,2.6321,Combustíveis. energia
12-2010,Energia elétrica residencial,0.698,2.6321,Combustíveis. energia
12-2011,Energia elétrica residencial,0.658,2.6321,Combustíveis. energia
12-2012,Energia elétrica residencial,0.612,2.6321,Combustíveis. energia
12-2013,Energia elétrica residencial,0.284,2.6321,Combustíveis. energia
05-2014,Energia elétrica residencial,0.303,2.6321,Combustíveis. energia
12-1994,Ônibus urbano,0,2.4862,Transporte
12-1995,Ônibus urbano,0.082,2.4862,Transporte
12-1996,Ônibus urbano,0.201,2.4862,Transporte
12-1997,Ônibus urbano,0.289,2.4862,Transporte
12-1998,Ônibus urbano,0.377,2.4862,Transporte
12-1999,Ônibus urbano,0.452,2.4862,Transporte
12-2000,Ônibus urbano,0.478,2.4862,Transporte
12-2001,Ônibus urbano,0.586,2.4862,Transporte
12-2002,Ônibus urbano,0.579,2.4862,Transporte
12-2003,Ônibus urbano,0.747,2.4862,Transporte
12-2004,Ônibus urbano,0.701,2.4862,Transporte
12-2005,Ônibus urbano,0.777,2.4862,Transporte
12-2006,Ônibus urbano,0.863,2.4862,Transporte
12-2007,Ônibus urbano,0.867,2.4862,Transporte
12-2008,Ônibus urbano,0.817,2.4862,Transporte
12-2009,Ônibus urbano,0.835,2.4862,Transporte
12-2010,Ônibus urbano,0.863,2.4862,Transporte
12-2011,Ônibus urbano,0.897,2.4862,Transporte
12-2012,Ônibus urbano,0.887,2.4862,Transporte
12-2013,Ônibus urbano,0.782,2.4862,Transporte
05-2014,Ônibus urbano,0.774,2.4862,Transporte
12-1994,Lanche,0,1.9657,Alimentação fora do domicílio
12-1995,Lanche,0.012,1.9657,Alimentação fora do domicílio
12-1996,Lanche,-0.052,1.9657,Alimentação fora do domicílio
12-1997,Lanche,-0.11,1.9657,Alimentação fora do domicílio
12-1998,Lanche,-0.131,1.9657,Alimentação fora do domicílio
12-1999,Lanche,-0.197,1.9657,Alimentação fora do domicílio
12-2000,Lanche,-0.231,1.9657,Alimentação fora do domicílio
12-2001,Lanche,-0.245,1.9657,Alimentação fora do domicílio
12-2002,Lanche,-0.257,1.9657,Alimentação fora do domicílio
12-2003,Lanche,-0.245,1.9657,Alimentação fora do domicílio
12-2004,Lanche,-0.214,1.9657,Alimentação fora do domicílio
12-2005,Lanche,-0.198,1.9657,Alimentação fora do domicílio
12-2006,Lanche,-0.166,1.9657,Alimentação fora do domicílio
12-2007,Lanche,-0.137,1.9657,Alimentação fora do domicílio
12-2008,Lanche,-0.097,1.9657,Alimentação fora do domicílio
12-2009,Lanche,-0.089,1.9657,Alimentação fora do domicílio
12-2010,Lanche,-0.057,1.9657,Alimentação fora do domicílio
12-2011,Lanche,-0.033,1.9657,Alimentação fora do domicílio
12-2012,Lanche,0.016,1.9657,Alimentação fora do domicílio
12-2013,Lanche,0.077,1.9657,Alimentação fora do domicílio
05-2014,Lanche,0.094,1.9657,Alimentação fora do domicílio
12-1994,Conserto de automóvel,0,1.7179,Transporte
12-1995,Conserto de automóvel,0.105,1.7179,Transporte
12-1996,Conserto de automóvel,0.155,1.7179,Transporte
12-1997,Conserto de automóvel,0.176,1.7179,Transporte
12-1998,Conserto de automóvel,0.177,1.7179,Transporte
12-1999,Conserto de automóvel,0.133,1.7179,Transporte
12-2000,Conserto de automóvel,0.102,1.7179,Transporte
12-2001,Conserto de automóvel,0.099,1.7179,Transporte
12-2002,Conserto de automóvel,0.03,1.7179,Transporte
12-2003,Conserto de automóvel,0.023,1.7179,Transporte
12-2004,Conserto de automóvel,0.051,1.7179,Transporte
12-2005,Conserto de automóvel,0.042,1.7179,Transporte
12-2006,Conserto de automóvel,0.062,1.7179,Transporte
12-2007,Conserto de automóvel,0.079,1.7179,Transporte
12-2008,Conserto de automóvel,0.113,1.7179,Transporte
12-2009,Conserto de automóvel,0.156,1.7179,Transporte
12-2010,Conserto de automóvel,0.163,1.7179,Transporte
12-2011,Conserto de automóvel,0.205,1.7179,Transporte
12-2012,Conserto de automóvel,0.196,1.7179,Transporte
12-2013,Conserto de automóvel,0.208,1.7179,Transporte
05-2014,Conserto de automóvel,0.219,1.7179,Transporte
12-1994,Condomínio,0,1.6272,Encargos e manutenção
12-1995,Condomínio,0.187,1.6272,Encargos e manutenção
12-1996,Condomínio,0.215,1.6272,Encargos e manutenção
12-1997,Condomínio,0.203,1.6272,Encargos e manutenção
12-1998,Condomínio,0.217,1.6272,Encargos e manutenção
12-1999,Condomínio,0.16,1.6272,Encargos e manutenção
12-2000,Condomínio,0.117,1.6272,Encargos e manutenção
12-2001,Condomínio,0.126,1.6272,Encargos e manutenção
12-2002,Condomínio,0.061,1.6272,Encargos e manutenção
12-2003,Condomínio,0.083,1.6272,Encargos e manutenção
12-2004,Condomínio,0.096,1.6272,Encargos e manutenção
12-2005,Condomínio,0.13,1.6272,Encargos e manutenção
12-2006,Condomínio,0.172,1.6272,Encargos e manutenção
12-2007,Condomínio,0.194,1.6272,Encargos e manutenção
12-2008,Condomínio,0.157,1.6272,Encargos e manutenção
12-2009,Condomínio,0.168,1.6272,Encargos e manutenção
12-2010,Condomínio,0.181,1.6272,Encargos e manutenção
12-2011,Condomínio,0.169,1.6272,Encargos e manutenção
12-2012,Condomínio,0.201,1.6272,Encargos e manutenção
12-2013,Condomínio,0.231,1.6272,Encargos e manutenção
05-2014,Condomínio,0.224,1.6272,Encargos e manutenção
12-1994,Taxa de água e esgoto,0,1.5163,Encargos e manutenção
12-1995,Taxa de água e esgoto,0.084,1.5163,Encargos e manutenção
12-1996,Taxa de água e esgoto,0.228,1.5163,Encargos e manutenção
12-1997,Taxa de água e esgoto,0.275,1.5163,Encargos e manutenção
12-1998,Taxa de água e esgoto,0.285,1.5163,Encargos e manutenção
12-1999,Taxa de água e esgoto,0.331,1.5163,Encargos e manutenção
12-2000,Taxa de água e esgoto,0.311,1.5163,Encargos e manutenção
12-2001,Taxa de água e esgoto,0.406,1.5163,Encargos e manutenção
12-2002,Taxa de água e esgoto,0.368,1.5163,Encargos e manutenção
12-2003,Taxa de água e esgoto,0.514,1.5163,Encargos e manutenção
12-2004,Taxa de água e esgoto,0.554,1.5163,Encargos e manutenção
12-2005,Taxa de água e esgoto,0.667,1.5163,Encargos e manutenção
12-2006,Taxa de água e esgoto,0.697,1.5163,Encargos e manutenção
12-2007,Taxa de água e esgoto,0.703,1.5163,Encargos e manutenção
12-2008,Taxa de água e esgoto,0.723,1.5163,Encargos e manutenção
12-2009,Taxa de água e esgoto,0.733,1.5163,Encargos e manutenção
12-2010,Taxa de água e esgoto,0.691,1.5163,Encargos e manutenção
12-2011,Taxa de água e esgoto,0.72,1.5163,Encargos e manutenção
12-2012,Taxa de água e esgoto,0.768,1.5163,Encargos e manutenção
12-2013,Taxa de água e esgoto,0.769,1.5163,Encargos e manutenção
05-2014,Taxa de água e esgoto,0.654,1.5163,Encargos e manutenção
12-1994,Automóvel usado,0,1.315,Transporte
12-1995,Automóvel usado,-0.357,1.315,Transporte
12-1996,Automóvel usado,-0.334,1.315,Transporte
12-1997,Automóvel usado,-0.344,1.315,Transporte
12-1998,Automóvel usado,-0.364,1.315,Transporte
12-1999,Automóvel usado,-0.32,1.315,Transporte
12-2000,Automóvel usado,-0.273,1.315,Transporte
12-2001,Automóvel usado,-0.286,1.315,Transporte
12-2002,Automóvel usado,-0.326,1.315,Transporte
12-2003,Automóvel usado,-0.377,1.315,Transporte
12-2004,Automóvel usado,-0.349,1.315,Transporte
12-2005,Automóvel usado,-0.356,1.315,Transporte
12-2006,Automóvel usado,-0.396,1.315,Transporte
12-2007,Automóvel usado,-0.421,1.315,Transporte
12-2008,Automóvel usado,-0.477,1.315,Transporte
12-2009,Automóvel usado,-0.558,1.315,Transporte
12-2010,Automóvel usado,-0.591,1.315,Transporte
12-2011,Automóvel usado,-0.63,1.315,Transporte
12-2012,Automóvel usado,-0.688,1.315,Transporte
12-2013,Automóvel usado,-0.713,1.315,Transporte
05-2014,Automóvel usado,-0.719,1.315,Transporte
12-1994,Cabeleireiro,0,1.2726,Serviços
12-1995,Cabeleireiro,0.339,1.2726,Serviços
12-1996,Cabeleireiro,0.283,1.2726,Serviços
12-1997,Cabeleireiro,0.233,1.2726,Serviços
12-1998,Cabeleireiro,0.196,1.2726,Serviços
12-1999,Cabeleireiro,0.076,1.2726,Serviços
12-2000,Cabeleireiro,0.015,1.2726,Serviços
12-2001,Cabeleireiro,-0.035,1.2726,Serviços
12-2002,Cabeleireiro,-0.094,1.2726,Serviços
12-2003,Cabeleireiro,-0.146,1.2726,Serviços
12-2004,Cabeleireiro,-0.151,1.2726,Serviços
12-2005,Cabeleireiro,-0.14,1.2726,Serviços
12-2006,Cabeleireiro,-0.124,1.2726,Serviços
12-2007,Cabeleireiro,-0.098,1.2726,Serviços
12-2008,Cabeleireiro,-0.091,1.2726,Serviços
12-2009,Cabeleireiro,-0.06,1.2726,Serviços
12-2010,Cabeleireiro,-0.04,1.2726,Serviços
12-2011,Cabeleireiro,-0.01,1.2726,Serviços
12-2012,Cabeleireiro,-0.001,1.2726,Serviços
12-2013,Cabeleireiro,0.019,1.2726,Serviços
05-2014,Cabeleireiro,0.022,1.2726,Serviços
12-1994,Pão francês,0,1.1295,Alimentação no domicílio
12-1995,Pão francês,0.15,1.1295,Alimentação no domicílio
12-1996,Pão francês,0.111,1.1295,Alimentação no domicílio
12-1997,Pão francês,0.018,1.1295,Alimentação no domicílio
12-1998,Pão francês,0.011,1.1295,Alimentação no domicílio
12-1999,Pão francês,0.03,1.1295,Alimentação no domicílio
12-2000,Pão francês,-0.026,1.1295,Alimentação no domicílio
12-2001,Pão francês,0.104,1.1295,Alimentação no domicílio
12-2002,Pão francês,0.346,1.1295,Alimentação no domicílio
12-2003,Pão francês,0.188,1.1295,Alimentação no domicílio
12-2004,Pão francês,0.128,1.1295,Alimentação no domicílio
12-2005,Pão francês,0.118,1.1295,Alimentação no domicílio
12-2006,Pão francês,0.067,1.1295,Alimentação no domicílio
12-2007,Pão francês,0.103,1.1295,Alimentação no domicílio
12-2008,Pão francês,0.243,1.1295,Alimentação no domicílio
12-2009,Pão francês,0.178,1.1295,Alimentação no domicílio
12-2010,Pão francês,0.208,1.1295,Alimentação no domicílio
12-2011,Pão francês,0.183,1.1295,Alimentação no domicílio
12-2012,Pão francês,0.248,1.1295,Alimentação no domicílio
12-2013,Pão francês,0.357,1.1295,Alimentação no domicílio
05-2014,Pão francês,0.363,1.1295,Alimentação no domicílio
12-1994,Gás de botijão,0,1.0934,Combustíveis. energia
12-1995,Gás de botijão,0.056,1.0934,Combustíveis. energia
12-1996,Gás de botijão,0.071,1.0934,Combustíveis. energia
12-1997,Gás de botijão,0.181,1.0934,Combustíveis. energia
12-1998,Gás de botijão,0.542,1.0934,Combustíveis. energia
12-1999,Gás de botijão,1.046,1.0934,Combustíveis. energia
12-2000,Gás de botijão,1.336,1.0934,Combustíveis. energia
12-2001,Gás de botijão,1.509,1.0934,Combustíveis. energia
12-2002,Gás de botijão,2.307,1.0934,Combustíveis. energia
12-2003,Gás de botijão,2.113,1.0934,Combustíveis. energia
12-2004,Gás de botijão,2.1,1.0934,Combustíveis. energia
12-2005,Gás de botijão,1.941,1.0934,Combustíveis. energia
12-2006,Gás de botijão,2.065,1.0934,Combustíveis. energia
12-2007,Gás de botijão,1.937,1.0934,Combustíveis. energia
12-2008,Gás de botijão,1.841,1.0934,Combustíveis. energia
12-2009,Gás de botijão,2.098,1.0934,Combustíveis. energia
12-2010,Gás de botijão,1.986,1.0934,Combustíveis. energia
12-2011,Gás de botijão,1.86,1.0934,Combustíveis. energia
12-2012,Gás de botijão,1.833,1.0934,Combustíveis. energia
12-2013,Gás de botijão,1.85,1.0934,Combustíveis. energia
05-2014,Gás de botijão,1.777,1.0934,Combustíveis. energia
12-1994,Cigarro,0,1.0395,Recreação e fumo
12-1995,Cigarro,0.103,1.0395,Recreação e fumo
12-1996,Cigarro,0.113,1.0395,Recreação e fumo
12-1997,Cigarro,0.141,1.0395,Recreação e fumo
12-1998,Cigarro,0.093,1.0395,Recreação e fumo
12-1999,Cigarro,-0.019,1.0395,Recreação e fumo
12-2000,Cigarro,-0.073,1.0395,Recreação e fumo
12-2001,Cigarro,-0.042,1.0395,Recreação e fumo
12-2002,Cigarro,-0.037,1.0395,Recreação e fumo
12-2003,Cigarro,-0.025,1.0395,Recreação e fumo
12-2004,Cigarro,0.012,1.0395,Recreação e fumo
12-2005,Cigarro,-0.04,1.0395,Recreação e fumo
12-2006,Cigarro,0.036,1.0395,Recreação e fumo
12-2007,Cigarro,0.087,1.0395,Recreação e fumo
12-2008,Cigarro,0.089,1.0395,Recreação e fumo
12-2009,Cigarro,0.326,1.0395,Recreação e fumo
12-2010,Cigarro,0.314,1.0395,Recreação e fumo
12-2011,Cigarro,0.293,1.0395,Recreação e fumo
12-2012,Cigarro,0.532,1.0395,Recreação e fumo
12-2013,Cigarro,0.669,1.0395,Recreação e fumo
05-2014,Cigarro,0.731,1.0395,Recreação e fumo
12-1994,Leite longa vida,0,0.9968,Alimentação no domicílio
12-1995,Leite longa vida,-0.064,0.9968,Alimentação no domicílio
12-1996,Leite longa vida,-0.074,0.9968,Alimentação no domicílio
12-1997,Leite longa vida,-0.083,0.9968,Alimentação no domicílio
12-1998,Leite longa vida,-0.113,0.9968,Alimentação no domicílio
12-1999,Leite longa vida,-0.073,0.9968,Alimentação no domicílio
12-2000,Leite longa vida,-0.025,0.9968,Alimentação no domicílio
12-2001,Leite longa vida,-0.089,0.9968,Alimentação no domicílio
12-2002,Leite longa vida,-0.007,0.9968,Alimentação no domicílio
12-2003,Leite longa vida,-0.043,0.9968,Alimentação no domicílio
12-2004,Leite longa vida,-0.026,0.9968,Alimentação no domicílio
12-2005,Leite longa vida,-0.147,0.9968,Alimentação no domicílio
12-2006,Leite longa vida,-0.145,0.9968,Alimentação no domicílio
12-2007,Leite longa vida,-0.043,0.9968,Alimentação no domicílio
12-2008,Leite longa vida,-0.052,0.9968,Alimentação no domicílio
12-2009,Leite longa vida,-0.123,0.9968,Alimentação no domicílio
12-2010,Leite longa vida,-0.015,0.9968,Alimentação no domicílio
12-2011,Leite longa vida,-0.003,0.9968,Alimentação no domicílio
12-2012,Leite longa vida,-0.014,0.9968,Alimentação no domicílio
12-2013,Leite longa vida,0.091,0.9968,Alimentação no domicílio
05-2014,Leite longa vida,0.061,0.9968,Alimentação no domicílio
12-1994,Emplacamento e licença,0,0.9212,Transporte
12-1995,Emplacamento e licença,0.294,0.9212,Transporte
12-1996,Emplacamento e licença,0.021,0.9212,Transporte
12-1997,Emplacamento e licença,-0.108,0.9212,Transporte
12-1998,Emplacamento e licença,-0.148,0.9212,Transporte
12-1999,Emplacamento e licença,-0.328,0.9212,Transporte
12-2000,Emplacamento e licença,-0.396,0.9212,Transporte
12-2001,Emplacamento e licença,-0.419,0.9212,Transporte
12-2002,Emplacamento e licença,-0.521,0.9212,Transporte
12-2003,Emplacamento e licença,-0.541,0.9212,Transporte
12-2004,Emplacamento e licença,-0.529,0.9212,Transporte
12-2005,Emplacamento e licença,-0.482,0.9212,Transporte
12-2006,Emplacamento e licença,-0.492,0.9212,Transporte
12-2007,Emplacamento e licença,-0.472,0.9212,Transporte
12-2008,Emplacamento e licença,-0.478,0.9212,Transporte
12-2009,Emplacamento e licença,-0.477,0.9212,Transporte
12-2010,Emplacamento e licença,-0.553,0.9212,Transporte
12-2011,Emplacamento e licença,-0.564,0.9212,Transporte
12-2012,Emplacamento e licença,-0.583,0.9212,Transporte
12-2013,Emplacamento e licença,-0.619,0.9212,Transporte
05-2014,Emplacamento e licença,-0.628,0.9212,Transporte
12-1994,Etanol,0,0.9201,Transporte
12-1995,Etanol,-0.082,0.9201,Transporte
12-1996,Etanol,0.028,0.9201,Transporte
12-1997,Etanol,0.136,0.9201,Transporte
12-1998,Etanol,-0.043,0.9201,Transporte
12-1999,Etanol,0.214,0.9201,Transporte
12-2000,Etanol,0.522,0.9201,Transporte
12-2001,Etanol,0.323,0.9201,Transporte
12-2002,Etanol,0.546,0.9201,Transporte
12-2003,Etanol,0.236,0.9201,Transporte
12-2004,Etanol,0.512,0.9201,Transporte
12-2005,Etanol,0.511,0.9201,Transporte
12-2006,Etanol,0.39,0.9201,Transporte
12-2007,Etanol,0.365,0.9201,Transporte
12-2008,Etanol,0.303,0.9201,Transporte
12-2009,Etanol,0.436,0.9201,Transporte
12-2010,Etanol,0.415,0.9201,Transporte
12-2011,Etanol,0.537,0.9201,Transporte
12-2012,Etanol,0.397,0.9201,Transporte
12-2013,Etanol,0.367,0.9201,Transporte
05-2014,Etanol,0.397,0.9201,Transporte
12-1994,Refrigerante e água mineral,0,0.7154,Alimentação no domicílio
12-1995,Refrigerante e água mineral,0.061,0.7154,Alimentação no domicílio
12-1996,Refrigerante e água mineral,0.04,0.7154,Alimentação no domicílio
12-1997,Refrigerante e água mineral,0.09,0.7154,Alimentação no domicílio
12-1998,Refrigerante e água mineral,0.068,0.7154,Alimentação no domicílio
12-1999,Refrigerante e água mineral,0.009,0.7154,Alimentação no domicílio
12-2000,Refrigerante e água mineral,-0.005,0.7154,Alimentação no domicílio
12-2001,Refrigerante e água mineral,-0.025,0.7154,Alimentação no domicílio
12-2002,Refrigerante e água mineral,-0.029,0.7154,Alimentação no domicílio
12-2003,Refrigerante e água mineral,-0.026,0.7154,Alimentação no domicílio
12-2004,Refrigerante e água mineral,-0.038,0.7154,Alimentação no domicílio
12-2005,Refrigerante e água mineral,-0.018,0.7154,Alimentação no domicílio
12-2006,Refrigerante e água mineral,-0.008,0.7154,Alimentação no domicílio
12-2007,Refrigerante e água mineral,-0.007,0.7154,Alimentação no domicílio
12-2008,Refrigerante e água mineral,-0.039,0.7154,Alimentação no domicílio
12-2009,Refrigerante e água mineral,-0.017,0.7154,Alimentação no domicílio
12-2010,Refrigerante e água mineral,0.002,0.7154,Alimentação no domicílio
12-2011,Refrigerante e água mineral,0.013,0.7154,Alimentação no domicílio
12-2012,Refrigerante e água mineral,0.051,0.7154,Alimentação no domicílio
12-2013,Refrigerante e água mineral,0.066,0.7154,Alimentação no domicílio
05-2014,Refrigerante e água mineral,0.065,0.7154,Alimentação no domicílio
12-1994,Ônibus intermunicipal,0,0.7083,Transporte
12-1995,Ônibus intermunicipal,0.055,0.7083,Transporte
12-1996,Ônibus intermunicipal,0.188,0.7083,Transporte
12-1997,Ônibus intermunicipal,0.27,0.7083,Transporte
12-1998,Ônibus intermunicipal,0.269,0.7083,Transporte
12-1999,Ônibus intermunicipal,0.316,0.7083,Transporte
12-2000,Ônibus intermunicipal,0.33,0.7083,Transporte
12-2001,Ônibus intermunicipal,0.438,0.7083,Transporte
12-2002,Ônibus intermunicipal,0.378,0.7083,Transporte
12-2003,Ônibus intermunicipal,0.499,0.7083,Transporte
12-2004,Ônibus intermunicipal,0.461,0.7083,Transporte
12-2005,Ônibus intermunicipal,0.553,0.7083,Transporte
12-2006,Ônibus intermunicipal,0.639,0.7083,Transporte
12-2007,Ônibus intermunicipal,0.635,0.7083,Transporte
12-2008,Ônibus intermunicipal,0.631,0.7083,Transporte
12-2009,Ônibus intermunicipal,0.661,0.7083,Transporte
12-2010,Ônibus intermunicipal,0.643,0.7083,Transporte
12-2011,Ônibus intermunicipal,0.634,0.7083,Transporte
12-2012,Ônibus intermunicipal,0.642,0.7083,Transporte
12-2013,Ônibus intermunicipal,0.604,0.7083,Transporte
05-2014,Ônibus intermunicipal,0.608,0.7083,Transporte
12-1994,Blusa,0,0.7066,Roupas
12-1995,Blusa,-0.193,0.7066,Roupas
12-1996,Blusa,-0.261,0.7066,Roupas
12-1997,Blusa,-0.301,0.7066,Roupas
12-1998,Blusa,-0.315,0.7066,Roupas
12-1999,Blusa,-0.366,0.7066,Roupas
12-2000,Blusa,-0.395,0.7066,Roupas
12-2001,Blusa,-0.431,0.7066,Roupas
12-2002,Blusa,-0.447,0.7066,Roupas
12-2003,Blusa,-0.446,0.7066,Roupas
12-2004,Blusa,-0.419,0.7066,Roupas
12-2005,Blusa,-0.391,0.7066,Roupas
12-2006,Blusa,-0.366,0.7066,Roupas
12-2007,Blusa,-0.378,0.7066,Roupas
12-2008,Blusa,-0.322,0.7066,Roupas
12-2009,Blusa,-0.312,0.7066,Roupas
12-2010,Blusa,-0.298,0.7066,Roupas
12-2011,Blusa,-0.299,0.7066,Roupas
12-2012,Blusa,-0.317,0.7066,Roupas
12-2013,Blusa,-0.329,0.7066,Roupas
05-2014,Blusa,-0.352,0.7066,Roupas
12-1994,Motocicleta,0,0.6858,Transporte
